"team","state"
"Auburn","Alabama"
"Alabama","Alabama"
"Troy","Alabama"
"Arizona State","Arizona"
"Arizona","Arizona"
"Arkansas","Arkansas"
"Arkansas-Monticello","Arkansas"
"California","California"
"Fresno State","California"
"Loyola Marymount","California"
"Pacific","California"
"San Diego State","California"
"San Jose State","California"
"San Francisco","California"
"Santa Clara","California"
"Stanford","California"
"St. Mary's","California"
"UCLA","California"
"USC","California"
"Colorado State","Colorado"
"Colorado College","Colorado"
"Colorado","Colorado"
"Air Force","Colorado"
"Connecticut","Connecticut"
"Yale","Connecticut"
"Delaware","Delaware"
"UCF","Florida"
"Florida State","Florida"
"Florida","Florida"
"Miami (FL)","Florida"
"South Florida","Florida"
"Georgia","Georgia"
"Georgia Tech","Georgia"
"Hawaii","Hawaii"
"Hawai'i","Hawaii"
"Boise State","Idaho"
"Illinois","Illinois"
"Northern Illinois","Illinois"
"Northwestern","Illinois"
"Ball State","Indiana"
"Indiana","Indiana"
"Notre Dame","Indiana"
"Purdue","Indiana"
"Iowa","Iowa"
"Iowa State","Iowa"
"Kansas","Kansas"
"Kansas State","Kansas"
"Kentucky","Kentucky"
"Louisville","Kentucky"
"Western Kentucky","Kentucky"
"LSU","Louisiana"
"Louisiana Lafayette","Louisiana"
"Louisiana Tech","Louisiana"
"Lafayette","Louisiana"
"Tulane","Louisiana"
"Maryland","Maryland"
"Navy","Maryland"
"Boston","Massachusetts"
"Boston College","Massachusetts"
"Boston University","Massachusetts"
"Harvard","Massachusetts"
"Holy Cross","Massachusetts"
"Williams","Massachusetts"
"Detroit","Michigan"
"Marquette","Michigan"
"Michigan","Michigan"
"Michigan State","Michigan"
"Western Michigan","Michigan"
"Minnesota","Minnesota"
"Ole Miss","Mississippi"
"Southern Miss","Mississippi"
"Mississippi State","Mississippi"
"Mississippi","Mississippi"
"Missouri","Missouri"
"Nebraska","Nebraska"
"Nevada","Nevada"
"Princeton","New Jersey"
"Rutgers","New Jersey"
"Army","New York"
"Colgate","New York"
"Columbia","New York"
"Cornell","New York"
"Fordham","New York"
"New York","New York"
"Syracuse","New York"
"New Mexico","New Mexico"
"New Mexico State","New Mexico"
"Catawba","North Carolina"
"Duke","North Carolina"
"East Carolina","North Carolina"
"North Carolina","North Carolina"
"NC State","North Carolina"
"North Carolina State","North Carolina"
"Wake Forest","North Carolina"
"Oklahoma","Oklahoma"
"Oklahoma State","Oklahoma"
"Tulsa","Oklahoma"
"Bowling Green","Ohio"
"Cincinnati","Ohio"
"Kent State","Ohio"
"Miami (OH)","Ohio"
"Ohio","Ohio"
"Ohio State","Ohio"
"Toledo","Ohio"
"Oregon","Oregon"
"Oregon State","Oregon"
"Bucknell","Pennsylvania"
"Carnegie Mellon","Pennsylvania"
"Duquesne","Pennsylvania"
"Lehigh","Pennsylvania"
"Penn State","Pennsylvania"
"Penn","Pennsylvania"
"Pennsylvania","Pennsylvania"
"Pittsburgh","Pennsylvania"
"Villanova","Pennsylvania"
"Temple","Pennsylvania"
"Clemson","South Carolina"
"South Carolina","South Carolina"
"Memphis","Tennessee"
"Tennessee","Tennessee"
"Vanderbilt","Tennessee"
"Baylor","Texas"
"Hardin-Simmons","Texas"
"Houston","Texas"
"North Texas","Texas"
"Rice","Texas"
"SMU","Texas"
"Southwestern","Texas"
"TCU","Texas"
"Texas A&M","Texas"
"Texas","Texas"
"Texas Tech","Texas"
"UTEP","Texas"
"Brigham Young","Utah"
"BYU","Utah"
"Utah","Utah"
"Utah State","Utah"
"Dartmouth","Vermont"
"Richmond","Virginia"
"VMI","Virginia"
"Virginia","Virginia"
"Virginia Tech","Virginia"
"Washington & Lee","Virginia"
"William & Mary","Virginia"
"Washington","Washington"
"Washington State","Washington"
"Georgetown","Washington, D.C."
"George Washington","Washington, D.C."
"Marshall","West Virginia"
"West Virginia","West Virginia"
"Wisconsin","Wisconsin"
"Wyoming","Wyoming"
